Sequence  | Address         | Length  | TermCode            | Uri                                                                                       | Data
89        | 7ff7c864b770h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek32#seek32_g[64f](64f~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
90        | 7ff7c864b790h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[8u](8u~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
91        | 7ff7c864b7b0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[8i](8i~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
92        | 7ff7c864b7d0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[16u](16u~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
93        | 7ff7c864b7f0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[16i](16i~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
94        | 7ff7c864b810h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[32u](32u~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
95        | 7ff7c864b830h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[32i](32i~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
96        | 7ff7c864b850h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[64u](64u~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
97        | 7ff7c864b870h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[64i](64i~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
98        | 7ff7c864b890h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[32f](32f~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
99        | 7ff7c864b8b0h   | 13      | CTC_RET_Zx3         | hex://root/refs?seek64#seek64_g[64f](64f~ref,32i)                                         | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
100       | 7ff7c864b8d0h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[8u](8u~ref,64i)                                             | 0f 1f 44 00 00 48 8d 04 11 c3
101       | 7ff7c864b8f0h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[8i](8i~ref,64i)                                             | 0f 1f 44 00 00 48 8d 04 11 c3
102       | 7ff7c864b910h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[16u](16u~ref,64i)                                           | 0f 1f 44 00 00 48 8d 04 11 c3
103       | 7ff7c864b930h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[16i](16i~ref,64i)                                           | 0f 1f 44 00 00 48 8d 04 11 c3
104       | 7ff7c864b950h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[32u](32u~ref,64i)                                           | 0f 1f 44 00 00 48 8d 04 11 c3
105       | 7ff7c864b970h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[32i](32i~ref,64i)                                           | 0f 1f 44 00 00 48 8d 04 11 c3
106       | 7ff7c864b990h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[64u](64u~ref,64i)                                           | 0f 1f 44 00 00 48 8d 04 11 c3
107       | 7ff7c864b9b0h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[64i](64i~ref,64i)                                           | 0f 1f 44 00 00 48 8d 04 11 c3
108       | 7ff7c864bde0h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[32f](32f~ref,64i)                                           | 0f 1f 44 00 00 48 8d 04 11 c3
109       | 7ff7c864be00h   | 10      | CTC_RET_Zx3         | hex://root/refs?seekb#seekb_g[64f](64f~ref,64i)                                           | 0f 1f 44 00 00 48 8d 04 11 c3
110       | 7ff7c864be20h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[8u](8u~in,32i)                                              | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
111       | 7ff7c864be40h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[8i](8i~in,32i)                                              | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
112       | 7ff7c864be60h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[16u](16u~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
113       | 7ff7c864be80h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[16i](16i~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
114       | 7ff7c864bea0h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[32u](32u~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
115       | 7ff7c864bec0h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[32i](32i~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
116       | 7ff7c864bee0h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[64u](64u~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
117       | 7ff7c864bf00h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[64i](64i~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
118       | 7ff7c864bf20h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[32f](32f~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
119       | 7ff7c864bf40h   | 12      | CTC_RET_SBB         | hex://root/refs?skip8#skip8_g[64f](64f~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
120       | 7ff7c864bf60h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[8u](8u~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
121       | 7ff7c864bf80h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[8i](8i~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
122       | 7ff7c864bfa0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[16u](16u~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
123       | 7ff7c864bfc0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[16i](16i~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
124       | 7ff7c864bfe0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[32u](32u~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
125       | 7ff7c864c000h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[32i](32i~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
126       | 7ff7c864c020h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[64u](64u~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
127       | 7ff7c864c040h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[64i](64i~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
128       | 7ff7c864c060h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[32f](32f~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
129       | 7ff7c864c080h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip16#skip16_g[64f](64f~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 41 c3
130       | 7ff7c864c0a0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[8u](8u~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
131       | 7ff7c864c0c0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[8i](8i~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
132       | 7ff7c864c0e0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[16u](16u~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
133       | 7ff7c864c100h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[16i](16i~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
134       | 7ff7c864c120h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[32u](32u~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
135       | 7ff7c864c140h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[32i](32i~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
136       | 7ff7c864c160h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[64u](64u~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
137       | 7ff7c864c180h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[64i](64i~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
138       | 7ff7c864c1a0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[32f](32f~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
139       | 7ff7c864c1c0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip32#skip32_g[64f](64f~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 81 c3
140       | 7ff7c864c1e0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[8u](8u~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
141       | 7ff7c864c200h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[8i](8i~in,32i)                                            | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
142       | 7ff7c864c220h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[16u](16u~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
143       | 7ff7c864c240h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[16i](16i~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
