Offset      | Gap     | Origin                          | Size    | Uri
000028e0h   | 23      | 7ff7c71949a0h : 7ff7c71949a9h   | 9       | corefunc/asin/int32_g8u
00002900h   | 23      | 7ff7c71949c0h : 7ff7c71949c9h   | 9       | corefunc/asin/int32_g8i
00002920h   | 23      | 7ff7c71949e0h : 7ff7c71949e9h   | 9       | corefunc/asin/int32_g16u
00002940h   | 23      | 7ff7c7194a00h : 7ff7c7194a09h   | 9       | corefunc/asin/int32_g16i
00002960h   | 23      | 7ff7c7194a20h : 7ff7c7194a29h   | 9       | corefunc/asin/int32_g32u
00002980h   | 23      | 7ff7c7194a40h : 7ff7c7194a49h   | 9       | corefunc/asin/int32_g32i
000029a0h   | 23      | 7ff7c7194a60h : 7ff7c7194a69h   | 9       | corefunc/asin/int32_g64u
000029c0h   | 23      | 7ff7c7194a80h : 7ff7c7194a89h   | 9       | corefunc/asin/int32_g64i
000029e0h   | 23      | 7ff7c7194aa0h : 7ff7c7194aa9h   | 9       | corefunc/asin/int32_g32f
00002a00h   | 23      | 7ff7c7194ac0h : 7ff7c7194ac9h   | 9       | corefunc/asin/int32_g64f
00002a20h   | 23      | 7ff7c7194ae0h : 7ff7c7194ae9h   | 9       | corefunc/asin/uint32_g8u
00002a40h   | 23      | 7ff7c7194b00h : 7ff7c7194b09h   | 9       | corefunc/asin/uint32_g8i
00002a60h   | 23      | 7ff7c7194b20h : 7ff7c7194b29h   | 9       | corefunc/asin/uint32_g16u
00002a80h   | 23      | 7ff7c7194b40h : 7ff7c7194b49h   | 9       | corefunc/asin/uint32_g16i
00002aa0h   | 23      | 7ff7c7194b60h : 7ff7c7194b69h   | 9       | corefunc/asin/uint32_g32u
00002ac0h   | 23      | 7ff7c7194b80h : 7ff7c7194b89h   | 9       | corefunc/asin/uint32_g32i
00002ae0h   | 23      | 7ff7c7194ba0h : 7ff7c7194ba9h   | 9       | corefunc/asin/uint32_g64u
00002b00h   | 23      | 7ff7c7194bc0h : 7ff7c7194bc9h   | 9       | corefunc/asin/uint32_g64i
00002b20h   | 23      | 7ff7c7194be0h : 7ff7c7194be9h   | 9       | corefunc/asin/uint32_g32f
00002b40h   | 23      | 7ff7c7194c00h : 7ff7c7194c09h   | 9       | corefunc/asin/uint32_g64f
00002b60h   | 23      | 7ff7c7194c20h : 7ff7c7194c29h   | 9       | corefunc/asin/int64_g8u
00002f90h   | 1063    | 7ff7c7195050h : 7ff7c7195059h   | 9       | corefunc/asin/int64_g8i
00002fb0h   | 23      | 7ff7c7195070h : 7ff7c7195079h   | 9       | corefunc/asin/int64_g16u
00002fd0h   | 23      | 7ff7c7195090h : 7ff7c7195099h   | 9       | corefunc/asin/int64_g16i
00002ff0h   | 23      | 7ff7c71950b0h : 7ff7c71950b9h   | 9       | corefunc/asin/int64_g32u
00003010h   | 23      | 7ff7c71950d0h : 7ff7c71950d9h   | 9       | corefunc/asin/int64_g32i
00003030h   | 23      | 7ff7c71950f0h : 7ff7c71950f9h   | 9       | corefunc/asin/int64_g64u
00003050h   | 23      | 7ff7c7195110h : 7ff7c7195119h   | 9       | corefunc/asin/int64_g64i
00003070h   | 23      | 7ff7c7195130h : 7ff7c7195139h   | 9       | corefunc/asin/int64_g32f
00003090h   | 23      | 7ff7c7195150h : 7ff7c7195159h   | 9       | corefunc/asin/int64_g64f
000030b0h   | 23      | 7ff7c7195170h : 7ff7c7195179h   | 9       | corefunc/asin/uint64_g8u
000030d0h   | 23      | 7ff7c7195190h : 7ff7c7195199h   | 9       | corefunc/asin/uint64_g8i
000030f0h   | 23      | 7ff7c71951b0h : 7ff7c71951b9h   | 9       | corefunc/asin/uint64_g16u
00003110h   | 23      | 7ff7c71951d0h : 7ff7c71951d9h   | 9       | corefunc/asin/uint64_g16i
00003130h   | 23      | 7ff7c71951f0h : 7ff7c71951f9h   | 9       | corefunc/asin/uint64_g32u
00003150h   | 23      | 7ff7c7195210h : 7ff7c7195219h   | 9       | corefunc/asin/uint64_g32i
00003170h   | 23      | 7ff7c7195230h : 7ff7c7195239h   | 9       | corefunc/asin/uint64_g64u
00003190h   | 23      | 7ff7c7195250h : 7ff7c7195259h   | 9       | corefunc/asin/uint64_g64i
000031b0h   | 23      | 7ff7c7195270h : 7ff7c7195279h   | 9       | corefunc/asin/uint64_g32f
000031d0h   | 23      | 7ff7c7195290h : 7ff7c7195299h   | 9       | corefunc/asin/uint64_g64f
000031f0h   | 23      | 7ff7c71952b0h : 7ff7c71952b9h   | 9       | corefunc/asin/float32_g8u
00003210h   | 23      | 7ff7c71952d0h : 7ff7c71952d9h   | 9       | corefunc/asin/float32_g8i
00003230h   | 23      | 7ff7c71952f0h : 7ff7c71952f9h   | 9       | corefunc/asin/float32_g16u
00003250h   | 23      | 7ff7c7195310h : 7ff7c7195319h   | 9       | corefunc/asin/float32_g16i
00003270h   | 23      | 7ff7c7195330h : 7ff7c7195339h   | 9       | corefunc/asin/float32_g32u
00003290h   | 23      | 7ff7c7195350h : 7ff7c7195359h   | 9       | corefunc/asin/float32_g32i
000032b0h   | 23      | 7ff7c7195370h : 7ff7c7195379h   | 9       | corefunc/asin/float32_g64u
000032d0h   | 23      | 7ff7c7195390h : 7ff7c7195399h   | 9       | corefunc/asin/float32_g64i
000032f0h   | 23      | 7ff7c71953b0h : 7ff7c71953b9h   | 9       | corefunc/asin/float32_g32f
00003310h   | 23      | 7ff7c71953d0h : 7ff7c71953d9h   | 9       | corefunc/asin/float32_g64f
00003330h   | 23      | 7ff7c71953f0h : 7ff7c71953f9h   | 9       | corefunc/asin/float64_g8u
00003350h   | 23      | 7ff7c7195410h : 7ff7c7195419h   | 9       | corefunc/asin/float64_g8i
00003370h   | 23      | 7ff7c7195430h : 7ff7c7195439h   | 9       | corefunc/asin/float64_g16u
00003390h   | 23      | 7ff7c7195450h : 7ff7c7195459h   | 9       | corefunc/asin/float64_g16i
000033b0h   | 23      | 7ff7c7195470h : 7ff7c7195479h   | 9       | corefunc/asin/float64_g32u
000037e0h   | 1063    | 7ff7c71958a0h : 7ff7c71958a9h   | 9       | corefunc/asin/float64_g32i
00003800h   | 23      | 7ff7c71958c0h : 7ff7c71958c9h   | 9       | corefunc/asin/float64_g64u
00003820h   | 23      | 7ff7c71958e0h : 7ff7c71958e9h   | 9       | corefunc/asin/float64_g64i
00003840h   | 23      | 7ff7c7195900h : 7ff7c7195909h   | 9       | corefunc/asin/float64_g32f
00003860h   | 23      | 7ff7c7195920h : 7ff7c7195929h   | 9       | corefunc/asin/float64_g64f
00003880h   | 23      | 7ff7c7195940h : 7ff7c7195949h   | 9       | corefunc/as/vgeneric__128x8i
000038a0h   | 23      | 7ff7c7195960h : 7ff7c7195969h   | 9       | corefunc/as/vgeneric_g128x8i
000038c0h   | 23      | 7ff7c7195980h : 7ff7c7195989h   | 9       | corefunc/as/vgeneric__128x8i
000038e0h   | 23      | 7ff7c71959a0h : 7ff7c71959a9h   | 9       | corefunc/as/vgeneric__128x8i
00003900h   | 23      | 7ff7c71959c0h : 7ff7c71959c9h   | 9       | corefunc/as/vgeneric__128x8i
00003920h   | 23      | 7ff7c71959e0h : 7ff7c71959e9h   | 9       | corefunc/as/vgeneric__128x8i
00003940h   | 23      | 7ff7c7195a00h : 7ff7c7195a09h   | 9       | corefunc/as/vgeneric__128x8i
00003960h   | 23      | 7ff7c7195a20h : 7ff7c7195a29h   | 9       | corefunc/as/vgeneric__128x8i
00003980h   | 23      | 7ff7c7195a40h : 7ff7c7195a49h   | 9       | corefunc/as/vgeneric__128x8i
000039a0h   | 23      | 7ff7c7195a60h : 7ff7c7195a69h   | 9       | corefunc/as/vgeneric__128x8i
000039c0h   | 23      | 7ff7c7195a80h : 7ff7c7195a89h   | 9       | corefunc/as/vgeneric_g128x8u
000039e0h   | 23      | 7ff7c7195aa0h : 7ff7c7195aa9h   | 9       | corefunc/as/vgeneric__128x8u
00003a00h   | 23      | 7ff7c7195ac0h : 7ff7c7195ac9h   | 9       | corefunc/as/vgeneric__128x8u
00003a20h   | 23      | 7ff7c7195ae0h : 7ff7c7195ae9h   | 9       | corefunc/as/vgeneric__128x8u
00003a40h   | 23      | 7ff7c7195b00h : 7ff7c7195b09h   | 9       | corefunc/as/vgeneric__128x8u
00003a60h   | 23      | 7ff7c7195b20h : 7ff7c7195b29h   | 9       | corefunc/as/vgeneric__128x8u
00003a80h   | 23      | 7ff7c7195b40h : 7ff7c7195b49h   | 9       | corefunc/as/vgeneric__128x8u
00003aa0h   | 23      | 7ff7c7195b60h : 7ff7c7195b69h   | 9       | corefunc/as/vgeneric__128x8u
00003ac0h   | 23      | 7ff7c7195b80h : 7ff7c7195b89h   | 9       | corefunc/as/vgeneric__128x8u
00003ae0h   | 23      | 7ff7c7195ba0h : 7ff7c7195ba9h   | 9       | corefunc/as/vgeneric__128x8u
