Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
59        | 7ff7c865f9e0h   | 17      | CTC_RET_INTR        | hex://root/cast?to#to_g[64f](32u)                                                                             | double to<double>(uint src)                                                                                   | c5 f8 77 66 90 8b c1 c5 f8 57 c0 c4 e1 fb 2a c0 c3
60        | 7ff7c865fa10h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[8u](64i)                                                                              | byte to<byte>(long src)                                                                                       | 0f 1f 44 00 00 0f b6 c1 c3
61        | 7ff7c865fa30h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8i](64i)                                                                              | sbyte to<sbyte>(long src)                                                                                     | 0f 1f 44 00 00 48 0f be c1 c3
62        | 7ff7c865fa50h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[16u](64i)                                                                             | ushort to<ushort>(long src)                                                                                   | 0f 1f 44 00 00 0f b7 c1 c3
63        | 7ff7c865fa70h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[16i](64i)                                                                             | short to<short>(long src)                                                                                     | 0f 1f 44 00 00 48 0f bf c1 c3
64        | 7ff7c865fa90h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[32u](64i)                                                                             | uint to<uint>(long src)                                                                                       | 0f 1f 44 00 00 8b c1 c3
65        | 7ff7c865fab0h   | 8       | CTC_RET_SBB         | hex://root/cast?to#to_g[32i](64i)                                                                             | int to<int>(long src)                                                                                         | 0f 1f 44 00 00 8b c1 c3
66        | 7ff7c865fad0h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64u](64i)                                                                             | ulong to<ulong>(long src)                                                                                     | 0f 1f 44 00 00 48 8b c1 c3
67        | 7ff7c865faf0h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64i](64i)                                                                             | long to<long>(long src)                                                                                       | 0f 1f 44 00 00 48 8b c1 c3
68        | 7ff7c865fb10h   | 15      | CTC_RET_INTR        | hex://root/cast?to#to_g[32f](64i)                                                                             | float to<float>(long src)                                                                                     | c5 f8 77 66 90 c5 f8 57 c0 c4 e1 fa 2a c1 c3
69        | 7ff7c865fb30h   | 15      | CTC_RET_INTR        | hex://root/cast?to#to_g[64f](64i)                                                                             | double to<double>(long src)                                                                                   | c5 f8 77 66 90 c5 f8 57 c0 c4 e1 fb 2a c1 c3
70        | 7ff7c865fb50h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[8u](64u)                                                                              | byte to<byte>(ulong src)                                                                                      | 0f 1f 44 00 00 0f b6 c1 c3
71        | 7ff7c865fb70h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8i](64u)                                                                              | sbyte to<sbyte>(ulong src)                                                                                    | 0f 1f 44 00 00 48 0f be c1 c3
72        | 7ff7c865fb90h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[16u](64u)                                                                             | ushort to<ushort>(ulong src)                                                                                  | 0f 1f 44 00 00 0f b7 c1 c3
73        | 7ff7c865fbb0h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[16i](64u)                                                                             | short to<short>(ulong src)                                                                                    | 0f 1f 44 00 00 48 0f bf c1 c3
